STATUS | wrapper  | 2021/01/31 17:22:33 | --> Wrapper Started as Console
STATUS | wrapper  | 2021/01/31 17:22:33 | Launching a JVM...
INFO   | jvm 1    | 2021/01/31 17:22:35 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2021/01/31 17:22:35 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2021/01/31 17:22:35 | 
INFO   | jvm 1    | 2021/01/31 17:22:35 | Java Runtime: Oracle Corporation 15.0.1 C:\Program Files\Java\jdk-15.0.1
INFO   | jvm 1    | 2021/01/31 17:22:35 |   Heap sizes: current=131072k  free=122345k  max=1048576k
INFO   | jvm 1    | 2021/01/31 17:22:35 |     JVM args: -Dactivemq.home=../.. -Dactivemq.base=../.. -Djavax.net.ssl.keyStorePassword=password -Djavax.net.ssl.trustStorePassword=password -Djavax.net.ssl.keyStore=../../conf/broker.ks -Djavax.net.ssl.trustStore=../../conf/broker.ts -Dcom.sun.management.jmxremote -Dorg.apache.activemq.UseDedicatedTaskRunner=true -Djava.util.logging.config.file=logging.properties -Dactivemq.conf=../../conf -Dactivemq.data=../../data -Djava.security.auth.login.config=../../conf/login.config -Xmx1024m -Djava.library.path=../../bin/win64 -Dwrapper.key=BZJLtFoYDHYmimoB -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=42904 -Dwrapper.version=3.2.3 -Dwrapper.native_library=wrapper -Dwrapper.cpu.timeout=10 -Dwrapper.jvmid=1
INFO   | jvm 1    | 2021/01/31 17:22:35 | Extensions classpath:
INFO   | jvm 1    | 2021/01/31 17:22:35 |   [..\..\lib,..\..\lib\camel,..\..\lib\optional,..\..\lib\web,..\..\lib\extra]
INFO   | jvm 1    | 2021/01/31 17:22:35 | ACTIVEMQ_HOME: ..\..
INFO   | jvm 1    | 2021/01/31 17:22:35 | ACTIVEMQ_BASE: ..\..
INFO   | jvm 1    | 2021/01/31 17:22:35 | ACTIVEMQ_CONF: ..\..\conf
INFO   | jvm 1    | 2021/01/31 17:22:35 | ACTIVEMQ_DATA: ..\..\data
INFO   | jvm 1    | 2021/01/31 17:22:41 | Loading message broker from: xbean:activemq.xml
INFO   | jvm 1    | 2021/01/31 17:22:41 |  INFO | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@1754dad3: startup date [Sun Jan 31 17:22:41 BRT 2021]; root of context hierarchy
INFO   | jvm 1    | 2021/01/31 17:22:43 |  INFO | Using Persistence Adapter: KahaDBPersistenceAdapter[E:\workspace\cursos-alura\Java\mensageria\apache-activemq-5.16.0\bin\win64\..\..\data\kahadb]
INFO   | jvm 1    | 2021/01/31 17:22:56 |  INFO | PListStore:[E:\workspace\cursos-alura\Java\mensageria\apache-activemq-5.16.0\bin\win64\..\..\data\localhost\tmp_storage] started
INFO   | jvm 1    | 2021/01/31 17:22:56 |  INFO | Apache ActiveMQ 5.16.0 (localhost, ID:DESKTOP-L4RT3IN-51332-1612124576720-0:1) is starting
INFO   | jvm 1    | 2021/01/31 17:22:57 |  INFO | Listening for connections at: tcp://DESKTOP-L4RT3IN:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2021/01/31 17:22:57 |  INFO | Connector openwire started
INFO   | jvm 1    | 2021/01/31 17:22:57 |  INFO | Listening for connections at: amqp://DESKTOP-L4RT3IN:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2021/01/31 17:22:57 |  INFO | Connector amqp started
INFO   | jvm 1    | 2021/01/31 17:22:57 |  INFO | Listening for connections at: stomp://DESKTOP-L4RT3IN:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2021/01/31 17:22:57 |  INFO | Connector stomp started
INFO   | jvm 1    | 2021/01/31 17:22:57 |  INFO | Listening for connections at: mqtt://DESKTOP-L4RT3IN:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2021/01/31 17:22:57 |  INFO | Connector mqtt started
INFO   | jvm 1    | 2021/01/31 17:22:57 |  INFO | Starting Jetty server
INFO   | jvm 1    | 2021/01/31 17:22:57 |  INFO | Creating Jetty connector
INFO   | jvm 1    | 2021/01/31 17:22:57 |  WARN | ServletContext@o.e.j.s.ServletContextHandler@49f21d88{/,null,STARTING} has uncovered http methods for path: /
INFO   | jvm 1    | 2021/01/31 17:22:57 |  INFO | Listening for connections at ws://DESKTOP-L4RT3IN:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2021/01/31 17:22:57 |  INFO | Connector ws started
INFO   | jvm 1    | 2021/01/31 17:22:57 |  INFO | Apache ActiveMQ 5.16.0 (localhost, ID:DESKTOP-L4RT3IN-51332-1612124576720-0:1) started
INFO   | jvm 1    | 2021/01/31 17:22:57 |  INFO | For help or more information please see: http://activemq.apache.org
INFO   | jvm 1    | 2021/01/31 17:22:57 |  WARN | Store limit is 102400 mb (current store usage is 0 mb). The data directory: E:\workspace\cursos-alura\Java\mensageria\apache-activemq-5.16.0\bin\win64\..\..\data\kahadb only has 26692 mb of usable space. - resetting to maximum available disk space: 26692 mb
INFO   | jvm 1    | 2021/01/31 17:22:57 |  WARN | Temporary Store limit is 51200 mb (current store usage is 0 mb). The data directory: E:\workspace\cursos-alura\Java\mensageria\apache-activemq-5.16.0\bin\win64\..\..\data only has 26692 mb of usable space. - resetting to maximum available disk space: 26692 mb
INFO   | jvm 1    | 2021/01/31 17:23:00 |  INFO | ActiveMQ WebConsole available at http://127.0.0.1:8161/
INFO   | jvm 1    | 2021/01/31 17:23:00 |  INFO | ActiveMQ Jolokia REST API available at http://127.0.0.1:8161/api/jolokia/
